date,meal,item_name,description,price,dietary_tags
2026-01-26,Dinner,Italian Sausage Ragout over Pasta,"Pork sausage, tomatoes, onions, peppers, mushrooms, over ziti pasta, parmesan cheese and a side salad with a red wine vinaigrette",9.00,Farm to Fork
2026-01-26,Dinner,Lentil and Vegetable Ragout over Pasta,"Lentil, tomatoes, onions, peppers, mushrooms, over ziti pasta, and a side salad with a red wine vinaigrette",8.75,"Vegan, Farm to Fork"
2026-01-26,Dinner,Citrus Chicken over Mashed Cauliflower,"Roasted chicken breast over mashed potatoes and cauliflower with roasted garlic served with steamed peas & carrots, arugula with lemon dill dressing",9.00,Made without Gluten-Containing Ingredients
2026-01-26,Dinner,Chickpea Tempeh Cake over Mashed Cauliflower,Lemon and herb crispy chickepea tempeh cake over mashed potatoes and cauliflower & roasted garlic served with steamed peas & carrots topped with arugula and lemon dill dressing,8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-01-27,Dinner,Chipotle Chicken Bowl,"Chipotle braised chicken, roasted tomato salsa, cotija cheese, sour cream, shredded lettuce, chile roasted vegetables, cilantro rice, black beans",9.25,Farm to Fork
2026-01-27,Dinner,Chipotle Mushrooms and Tofu,"Chipotle tofu with mushrooms, roasted tomato salsa, cotija cheese, sour cream, shredded lettuce, chile roasted vegetables, cilantro rice, black beans",8.75,"Vegetarian, Made without Gluten-Containing Ingredients"
2026-01-27,Dinner,Spiced Pork with Apples,"Sautéed pork with apples, kale, and fennel over brown rice with a spiced cider reduction",9.00,Made without Gluten-Containing Ingredients
2026-01-27,Dinner,Spiced Tempeh with Apples,"Sautéed tempeh with apples, kale, and fennel, brown rice, spiced cider reduction",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-01-28,Dinner,Smoked Barbecue Chicken Quarters,"Smoked chicken quarters, sweet potatoes fries, barbecue sauce, coleslaw and steamed corn",9.00,Made without Gluten-Containing Ingredients
2026-01-28,Dinner,Smoked Barbecue Beyond Meat Patty,"Smoked barbecue Beyond Meat patty, sweet potatoes fries, barbecue sauce, coleslaw and steamed corn",8.75,"Vegan, Made without Gluten-Containing Ingredients"
2026-01-28,Dinner,Blackened Turkey Breast,"Blackened turkey, red beans and rice, scallion and tomato salad, bell pepper dressing",9.25,"Made without Gluten-Containing Ingredients, Farm to Fork"
2026-01-28,Dinner,Blackened Tempeh,"Smoked tempeh, red beans and rice, scallion and tomato salad, Mama Lil's Peppers dressing",8.75,"Vegan, Made without Gluten-Containing Ingredients, Farm to Fork"
2026-01-29,Dinner,Beef Chili Bar over Baked Russet Potato,"Beef chili, onion, sour cream, shredded cheddar cheese, baked russet potato, steamed broccoli",9.25,Made without Gluten-Containing Ingredients
2026-01-29,Dinner,Three Bean Chili Baked Potato Bar,"Kidney, pinto and black bean chili, onion, vegan cheddar cheese, baked russet potato, steamed broccoli",8.75,"Vegan, Made without Gluten-Containing Ingredients"
